,image,bookName,author,interpreter,publisher,price,title,text,pages,dimensons,publicationDate,language,isbn
10,https://i.idefix.com/cache/500x400-0/originals/0001902028001-1.jpg,Muallim-i Sani Uzlukoğlu Farabi,Enver Demirpolat,,Kitap Dünyası,"32,85 TL",Muallim-i Sani Uzlukoğlu Farabi Kitap Açıklaması,"
Yazarı: Enver Demirpolat Emel Sünter,RahimeÇelik,Mirpenç Akşit,Mustafa Ülger,NurhayatÇALIŞKAN,Hamdi Onay,,H. Ömer Özden,ŞahinFiliz,İsmail Erdoğan
 
(Tanıtım Bülteninden)
",302,"13,5 x 21",2020,Türkçe,9786053514114
11,https://i.idefix.com/cache/500x400-0/originals/0001901817001-1.jpg,Nil ile Fıratı Kavuşturan Alim İbn Hallikan,Mahmut Recep Keleş,,Rağbet Yayınları,"57,6 TL",Nil ile Fıratı Kavuşturan Alim İbn Hallikan Kitap Açıklaması,"
İslam dünyasında İbn Hallikân olarak tanınan Ahmed b. Muhammed 608'de (1211) Erbil'de dünyaya geldi. İlim ile iştigal eden bir aileye mensup olması onu erken yaşta babasını kaybetmesine rağmen küçüklüğünden itibaren ilim öğrenmeye hevesli kıldı. İlk eğitimini Erbil'de babasının medresesinde aldıktan sonra, önce Musul'a daha sonra Halep ve Şam'a giderek dinî ilimlerde kendisini yetiştirdi. Ailesinin tanınması avantajını kullanarak birçok meclise girdi ve devlet adamlarıyla münasebetini sıkı tuttu. Moğol istilasıyla Suriye'deki durum kötüleşince hem daha iyi bir eğitim görmek hem de yeni hocalarla tanışmak için Mısır'a gitti. Mısır'da özellikle şair ve ediplerle karşılaştı ve onların meclislerine katılarak Arap şiirinin ve edebiyatının tüm inceliklerini öğrendi. Bulunduğu ilmî ortamlarda gördüklerini kayıt altına aldı ve geniş bir kütüphane oluşturarak Vefeyâtü'l-a'yân'ı yazmaya karar verdi. Mısır kadı nâibi olan İbn Hallikân, Memlük sultanı Kalavun tarafından Şam kâdılkudâtlığına atandı ve on sene görev yaptı. Kadılık görevinden azledilince Mısır'a dönüp müderrislik yaptı ve eserinin önemli bir kısmını da bu dönemde telif etti. Vefat ettiği 680 (1281) yılına kadar kaynakları araştırmaya ve eserini yazmaya devam etti.
 
(Tanıtım Bülteninden)
 
",288,"13,5 x 21",2020,Türkçe,9786057699138
12,https://i.idefix.com/cache/500x400-0/originals/0001876307001-1.jpg,Sedat Yenigün Meşalesi, Kolektif ,,İnkılab Yayınları,"25,55 TL",Sedat Yenigün Meşalesi Kitap Açıklaması,"
Her şehîd bir meş'aledir.. Şehîdin kanı, ışığını bütün zamanlara saçar.. Sedat'ların hedefini, idealini benimseyenlerden oluşan kafilenin tarihî yolculuğu, engelleri aşa-aşa, sürmekte..
Selahaddin Eş/Çakırgil
Sedat, konuşmasını unutan zavallı çağdaşlarına dillerini öğretmeye çalıştı. Dillerini, yani mukaddeslerini, haysiyetlerini ve insanlıklarını...
Cemil Meriç
Gönlü derinliğine aşk ve melâl dolu bir mücahiddi…
Kadir Mısıroğlu
O, güzel konuşan, güzel yazan, güzel tebliğ eden, genç nesillere İslâm'ı tebliğ etmenin heyecanını her zaman duyan, yaşayan; kimsenin kalbini incitmemeye, kimseye en ufak bir haksızlık yapmamaya titizlik gösteren, gereğinde af eden, bağışlayan, müsamaha gösteren, cevval ve enerjik bir şahsiyetti…
M. Beşir Eryarsoy
Yiğitti, mertti, dürüsttü. Bâbıâli denen mekânda, mü'mine has tavrını hiç yitirmedi…
Hüsnü Aktaş
Sarsılmaz bir iman ve örnek ahlâk sahibiydi…
Burhaneddin Kayhan
O haysiyetli, düşündüğünü tatbik eden, İslâm şuuruyla şuurlanmış, gerçek bir Müslümandı, örnek bir dâvâ adamıydı…
Hüseyin Öztürk
 
(Tanıtım Bülteninden)
 
",184,"13,5 x 21",2020,Türkçe,9786059555340
13,https://i.idefix.com/cache/500x400-0/originals/0001925998001-1.jpg,Korkusuz Ronaldo,Diego Roberto,,Dokuz Yayınları,"28,0 TL",Korkusuz Ronaldo Kitap Açıklaması,"
Poster HediyeliÜnlü sporcuların hayatlarını yaşadıkları evleri, kullandıkları arabaları, ünlü insanlarınarkadaşı olmaları, istedikleri zaman istedikleri yere ulaşabilir olmalarıhayranlıkla izlenecek bir şey.Eminim senin de hayranı olduğun bolcaünlü insan vardır. Keşke yerinde olsam dediklerin vardır. Benim de vardı. Ünlü sporcuların yerinde olmak için spora adanmış bir hayatının olması gerektiğini biliyor olman gerekir. İnan, çalış ve vazgeçme…Cristiano Ronaldo
 
(Tanıtım Bülteninden)
 
",160,"13,5 x 19,5",2021,Türkçe,9786257642088
14,https://i.idefix.com/cache/500x400-0/originals/0001733634001-1.jpg,Yadigar,Yadigar Gökalp İlhan,,Karina Yayınevi,"13,0 TL",Yadigar Kitap Açıklaması,"
“Nothing worthwhile ever happens quickly and easily. You achieve only as you are determined to achieve and as you keep at it until you have achieved.”
“Çabuk ve kolay olan hiçbir şey kıymetli değildir. Ancak başarmaya gerçekten niyet eder ve başarana kadar da asla vazgeçmezsen başarılı olabilirsin.”
-Sociologist, Robert H. Lauer-
 
(Tanıtım Bülteninden)
 
 
",,,2017,,9786052320105
15,https://i.idefix.com/cache/500x400-0/originals/0000000678976-1.jpg,Cumhuriyet ile Özdeşleşmiş Bir Hayat - Yunus Nadi Abalıoğlu,Ali Abalı,,Telgrafhane Yayınları,"12,0 TL",Cumhuriyet ile Özdeşleşmiş Bir Hayat - Yunus Nadi Abalıoğlu Kitap Açıklaması,"
""Cumhuriyet Gazetesi Mustafa Kemal Paşa'nın talimatı ile Yunus Nadi Abalıoğlu tarafından yayın hayatına başlatılmıştır.  Cumhuriyet adını da Mustafa Kemal Paşa vermiş ve ""Cumhuriyet Gazetesi, Cumhuriyetimizin daima destekçisi olacaktır"" demiştir.  Bu nedenle Yunus Nadi, hayatı boyunca bu yolda çalışmıştır.  Kimdir Yunus Nadi Abalıoğlu?"" diyerek başlıyor kitabına, Yunus Nadi'nin yeğeni Ali Abalı... Yunus Nadi'nin, kurtuluş ve kuruluş tarihimize iz bırakan çalışmalarının bir adım öncesine, Nadi'nin hikâyesinin ilk başladığı yere, doğduğu topraklara, ailesine ve onun adeta tuğla üzerine tuğla koyarak ördüğü örnek hayatına bilinmeyen yönlerinden bakıyor. Cumhuriyet tarihimizin önemli ismi ve Cumhuriyet gazetesinin kurucusunu; onun Anadolu'nun bir köyünden başlayıp, devrimin sesi olmaya uzanan hikâyesini 'içeriden' bir gözle sunuyor okura...(Tanıtım Bülteninden)",88,,2016,Türkçe,9786058402171
16,https://i.idefix.com/cache/500x400-0/originals/0002000769001-1.jpg,Hüseyin Nihal Atsız: Hayatı-Düşüncesi-Etkisi,Faruk Yılmaz,,Dorlion Yayınevi,"64,9 TL",Hüseyin Nihal Atsız: Hayatı-Düşüncesi-Etkisi Kitap Açıklaması,"
Nihal Atsız, ateşli ve keskin bir üsluba sahip olması yanında, hususi hayatında sakin, kibar, mülayim, nüktedan ve şakacıydı. Vakur davranışı ve tevazu içinde yaşayışı ile dimdik ve sağlam karakteri ile atsız Bey, Türk tarihinin derinliklerinden kopup gelen bir kişilikti. Hayatı boyunca Atsız ile uğraşılmıştır. Her seferinde de uğraşanlar yenilmiştir. Mağlup olanların yerine yenileri gelmiş, fakat ne Atsız’ı yıldırabilmişler ne de ülküsünü yenebilmişlerdir.1930-1970 yıllarına damga vurmuş bir düşünür olan Nihal Atsız Türk Tarihini yazmaktan daha önemli bir şey yapmayı, Türklük uğrunda yaşadığı çileli hayatı ve mücadelesi ile Türk Tarihine koskoca bir yeni fasıl eklemiş ve bir Türkçülük sembolünü romanlarıyla, makaleleriyle, şiirleriyle gerçek ve üstün milliyetçi insan tipini gelecek nesillere sunmuştur.Davetiye ŞiirindenEy Benito Mussolini! Ey gayet yüce,İtalyanlar başvekili muhterem Düce!Duydum ki, yelkenleri edip de foraGelecekmiş orduların yeşil Bosfora.Buyursunlar... Bizim için savaş düğündür;
 
(Tanıtım Bülteninden)
 
",374,"13,5 x 21",2022,Türkçe,9786254194719
17,https://i.idefix.com/cache/500x400-0/originals/0001909770001-1.jpg,Karanlıktan Şafağa," Kevin Coughlin  ,",Özgür Er,Sander Yayınları,"49,0 TL",Karanlıktan Şafağa Kitap Açıklaması,"
Yaralar, ışığın içeri girdiği yerdir.
-Rumî
Karanlıktan Şafağa, dünyada bilinen yalnız tek bir kişinin deneyimlediği muazzam bir hikâye; karanlık ve aydınlık, aşk ve kayıp, uyanış ve keşif arasındaki yolu izleyen eşsiz bir yolculuk. Sayfaları, bizi hemen sıradışı gerçek bir maceraya ve olağanüstü bir bireyin kalbine ve zihnine götürüyor. Bu kitap, Leber'in Herediter Optik Nöropatisi olarak bilinen ve nadir görülen bir genetik bozukluk nedeniyle otuz altı yaşında görme yetisini kaybeden Kevin Coughlin'ın gerçek hikâyesidir. Yirmi yıl sonra, hiçbir tıbbi müdahale olmaksızın Kevin, görme yetisini mucizevi bir şekilde geri kazandı. Karanlıktan Şafağa, Kevin'ın karanlığa düşüşünü ve açıklanamaz bir şekilde tekrar aydınlığa kavuşma sürecini takip eden cesur bir yapıt. Amatör bir fotoğraf sanatçısının bir anda kararan dünyasının yarattığı travma, yıkım ve yeniden umudu yakalamaya dair dürüst, samimi ve etkileyici bir anlatım.
 
(Tanıtım Bülteninden)
 
",,,,,
18,https://i.idefix.com/cache/500x400-0/originals/0001916510001-1.jpg,Sizler Benim Işığımsınız,Rukiye Pulat,,Simer Yayınevi,"10,5 TL",Sizler Benim Işığımsınız Kitap Açıklaması,"
Rukiye PULAT kendi hayat hikâyesini yazdı. Görmeyen gözler vardır ama kalp gözü açık ise insan her daim vardır.
Sevgili dostlar, bir insan ne kadar batarsa batsın, ne kadar düşerse düşsün, tünelin ucunda, her zaman ufakta olsa bir ışık vardır.Yeter ki yapmak istesin.Yeter ki kendine ve Allah’a inansın…Ben geçmişi bilerek yürüdüm. Ben kendimdeki hataları görerek geleceğimi yazdım. Yolumu çizdim.Unutmayın.Her insan doğan bir ışıktır.Sizler de benim ışığımsınız…
 
(Tanıtım Bülteninden)
 
",48,"13,5 x 21",2021,Türkçe,9786257365017
19,https://i.idefix.com/cache/500x400-0/originals/0000000707029-1.jpg,Aslanlı Yol,Sevan Nişanyan,Füsun Turcan Elmasoğlu,Everest Yayınları,"49,8 TL",Aslanlı Yol Kitap Açıklaması,"
Memleket olarak pek rağbet etmediğimiz bir tür otobiyografi. Mühim isimler hakkında yazılan biyografilere aşinayız daha çok. Otobiyografi, doğası gereği yüzleşmeyi ve kendine karşı acımasızca dürüst olmayı dayatıyor. Sevan Nişanyan'da bu ikisi de var.Bütün eserlerinde ezberlerle, tarihle, dille, yerleşik turizm algısıyla ve daha nice şeyle cesaretle yüzleşen Nişanyan kendini kayırmıyor. Çocukluğu, Robert günleri, Amerika'daki solculuk zamanları, gencecik yaşta yaptığı ve çok ses getiren Karl Marx tercümesi, Kafkasya'daki savaş meydanları, Etiyopya manastırları, Amazonlar, Şirince, Van, Ermenistan...Aslanlı Yol müthiş bir kurmaca metin olarak da okunabilir. Göreceksiniz: Gözü pek bir seyyah olan Nişanyan sürekli kayboluyor, arabası bozuluyor, yolu bulamıyor, insanlara yol soruyor, onlarca yıldır kullanılmamış patikaları deniyor ama pes etmiyor. Asla.Sadece eserleriyle değil, hayatıyla da bütün ezberlere savaş açan dâhi bir seyyahın otobiyografisi. Okuduktan hemen sonra müthiş bir yola çıkma isteğiyle, üstelik!  (Tanıtım Bülteninden)",328,,2016,Türkçe,9786051415567
20,https://i.idefix.com/cache/500x400-0/originals/0001877282001-1.jpg,İsmail Cem: Hayatı - Eserleri ve Dış Politika Anlayışı,Altun Altun,,Dora Yayıncılık,"56,25 TL",İsmail Cem: Hayatı - Eserleri ve Dış Politika Anlayışı Kitap Açıklaması,"
1.Teorik çerçeve dış politikayı liderler üzerinden analiz etmek2.Bir siyasi lider ve entelektüel olarak İsmail Cem3.İsmail Cem'in dış politika anlayışı
 
(Tanıtım Bülteninden)
 
",193,14 x 21,2020,Türkçe,9786052471951
21,https://i.idefix.com/cache/500x400-0/originals/0001967531001-1.jpg,Ulvi Cemal Erkin Duyuşlar'dan Köçekçe'ye,Koral Çalgan,,Sevda Cenap & Müzik Vakfı,"24,0 TL",Ulvi Cemal Erkin Duyuşlar'dan Köçekçe'ye Kitap Açıklaması,"
Türk Beşleri’nin en duygulusu… Yapıtlarında hep duygusallık egemen oldu. Cumhuriyet dönemi ilk kuşak bestecilerimizin en lirik olanıydı, kuşkusuz… Halk müzikleri ve eski makamsal müziğimizden esintileri, duygusallığıyla bütünleştirince ortaya kolay unutulmayacak yapıtlar çıktı. Dans rapsodisi “Köçekçe” adeta çoksesli ulusal müziğimizin öncelikli simgesi haline geldi.1991’de Sevda-Cenap And Müzik Vakfı’nca Onur Ödülü Altın Madalyası ile ödüllendirildi.Bu kitapta öğrencilerinden, viyola sanatçısı, orkestra şefi Prof. Koral Çalgan’ın kaleminden Erkin’in yaşam öyküsünü, hakkında yazılanlar ve eserleriyle ilgili ayrıntıları bulacaksınız.
 
(Tanıtım Bülteninden)
 
",208,"16 x 23,5",2022,Türkçe,2994355904208
